license_number,company_name,company_dba,license_classification,issued_date,naics_code,naics_name,predirection,address_line1,address_line2,street_type,postdirection,unit_suite,city,state,postal_code,address_concat,address_api,longitude,latitude,disinvested_neighborhood,council_district,npu,company_name_clean,company_dba_clean,search_name
GBL-0225-36411,T Food and Gas,,Retail Trade,2025-02-24 13:08:00.000,445120.0,Convenience Stores ,,121,CLEVELAND,Avenue,SE,,Atlanta,GA,,121 CLEVELAND Avenue Atlanta GA nan,"121 Cleveland Ave, Atlanta, Georgia, 30315",-84.384710725576,33.680713066683,True,12,Z,t food and gas,,t food and gas 
GBL-0321-01663,"NIFTY NEIGHBOR, LLC",NIFTY NEIGHBOR,Retail Trade,2025-02-15 18:35:06.880,445120.0,Convenience Stores ,,250 PHARR ,,RD,,,ATLANTA,GA,30305,250 PHARR  nan RD ATLANTA GA 30305,"250 Pharr Rd NE, Atlanta, Georgia, 30305",-84.378655554903,33.837486213929,False,7,B,"nifty neighbor, llc",nifty neighbor,"nifty neighbor, llc nifty neighbor"
GBL-0322-10667,Lee Food Mart INC,,Retail Trade,2025-02-25 23:09:37.080,445120.0,Convenience Stores ,,"1193 Lee ST SW, Atlanta, GA 30310",,,,,,,,"1193 Lee ST SW, Atlanta, GA 30310 nan nan nan nan nan","1193 Lee St SW, Atlanta, Georgia, 30310",-84.423048880148,33.722610303072,True,4,S,lee food mart inc,,lee food mart inc 
GBL-0322-11270,MORELLI' ICE CREAM VAHI,morelli's ice cream,Retail Trade,2025-02-13 15:05:05.897,445299.0,All Other Specialty Food Stores ,,1002 north highland avenue NE,,,,,ATLANTA,GA,30306,1002 north highland avenue NE nan nan ATLANTA GA 30306,"1002 N Highland Ave NE, Atlanta, Georgia, 30306",-84.354469489471,33.781925259988,False,6,F,morelli' ice cream vahi,morelli's ice cream,morelli' ice cream vahi morelli's ice cream
GBL-0322-11708,CleanTrvlr LLC,,Retail Trade,2025-02-14 17:10:56.923,452319.0,All Other General Merchandise Stores ,,522 Bismark Rd NE,,,,,Atlanta,GA,30324,522 Bismark Rd NE nan nan Atlanta GA 30324,"522 Bismark Rd NE, Atlanta, Georgia, 30324",-84.365363365209,33.810597739094,False,6,F,cleantrvlr llc,,cleantrvlr llc 
GBL-0323-20010,"Simpson Business, Inc.",Shopper's Supermarket,Retail Trade,2025-02-11 13:09:25.970,445120.0,Convenience Stores ,,"735 Joseph E. Boone Blvd., NW",,,,,Atlanta,GA,30314,"735 Joseph E. Boone Blvd., NW nan nan Atlanta GA 30314","735 Joseph E Boone Blvd NW, Atlanta, Georgia, 30314",-84.411495737895,33.763489575689,True,3,L,"simpson business, inc.",shopper's supermarket,"simpson business, inc. shopper's supermarket"
GBL-0323-20116,"Five Below, Inc.",Five Below #6266,Retail Trade,2025-01-15 13:05:33.650,452319.0,All Other General Merchandise Stores ,,3232,PEACHTREE,Road,NE,,Atlanta,GA,,3232 PEACHTREE Road Atlanta GA nan,"3232 Peachtree Rd NE, Atlanta, Georgia, 30305",-84.37412052619,33.844426765034,False,7,B,"five below, inc.",five below #6266,"five below, inc. five below #6266"
GBL-0324-28457,Swift Bodega LLC,Swift Bodega,Retail Trade,2025-02-03 15:26:20.000,445120.0,Convenience Stores ,,207,13th,ST,NE,A1,Atlanta,GA,30309,207 13th ST Atlanta GA 30309,"207 13th St NE, Atlanta, Georgia, 30309",-84.380223473711,33.785100618277,False,2,E,swift bodega llc,swift bodega,swift bodega llc swift bodega
GBL-0421-02038,SE Co-Brand Ventures,Auntie Anne's/Planet Smoothie,Accommodation and Food Services,2025-02-17 16:38:19.303,445299.0,All Other Specialty Food Stores ,,3393 Peachtree Rd NE,3393 Peachtree Rd NE,,,,Atlanta,GA,30326,3393 Peachtree Rd NE 3393 Peachtree Rd NE nan Atlanta GA 30326,"3393 Peachtree Rd NE, Atlanta, Georgia, 30326",-84.362357782369,33.845306068587,False,7,B,se co-brand ventures,auntie anne's/planet smoothie,se co-brand ventures auntie anne's/planet smoothie
GBL-0421-02073,"AVNOOR, INC",A J Package,Other Services except Public Administration,2025-02-11 11:42:45.603,452319.0,All Other General Merchandise Stores ,,548,NORTHSIDE,DR,NW,,Atlanta,GA,,548 NORTHSIDE DR Atlanta GA nan,"548 Northside Dr NW, Atlanta, Georgia, 30318",-84.404852553448,33.7696903681,True,3,L,"avnoor, inc",a j package,"avnoor, inc a j package"
GBL-0421-02179,A&B Food Mart of Atlanta Georgia LLC,,Retail Trade,2025-02-14 11:09:19.663,445120.0,Convenience Stores ,,1519,Pryor,RD,SW,Ste B,Atlanta,GA,30315,1519 Pryor RD Atlanta GA 30315,"1519 Pryor Rd SW, Atlanta, Georgia, 30315",-84.393681122173,33.713951839001,True,12,Y,a&b food mart of atlanta georgia llc,,a&b food mart of atlanta georgia llc 
GBL-0421-02202,Sai Shakti Provisions LLC,Savi Provisions,Accommodation and Food Services,2025-02-02 15:35:12.293,445299.0,All Other Specialty Food Stores ,NW,950 Marietta Street,"Ste. 4, Bldg B",,,,Atlanta,GA,30318,"950 Marietta Street Ste. 4, Bldg B nan Atlanta GA 30318","950 W Marietta St NW, Suite B, Atlanta, Georgia, 30318",-84.418938981564,33.78267300957,False,3,K,sai shakti provisions llc,savi provisions,sai shakti provisions llc savi provisions
GBL-0421-02202,Sai Shakti Provisions LLC,Savi Provisions,Accommodation and Food Services,2025-02-02 15:35:12.293,445299.0,All Other Specialty Food Stores ,NW,950 Marietta Street,"Ste. 4, Bldg B",,,,Atlanta,GA,30318,"950 Marietta Street Ste. 4, Bldg B nan Atlanta GA 30318","950 W Marietta St NW, Suite B, Atlanta, Georgia, 30318",-84.418938981564,33.78267300957,False,3,K,sai shakti provisions llc,savi provisions,sai shakti provisions llc savi provisions
GBL-0421-02252,"Six Continents Hotels, Inc.",,"Admin, Support, Waste Mgt & Remediation Svc",2025-01-31 13:35:10.953,452319.0,All Other General Merchandise Stores ,,1289 Seaboard Industrial,,BLVD,,,Atlanta,GA,30080,1289 Seaboard Industrial nan BLVD Atlanta GA 30080,"1289 Seaboard Industrial Blvd NW, Atlanta, Georgia, 30318",-84.430202247775,33.807826262809,False,9,D,"six continents hotels, inc.",,"six continents hotels, inc. "
GBL-0421-02322,Healthy Healing Corporation,The Zen Bar,Retail Trade,2025-02-13 09:06:19.577,452319.0,All Other General Merchandise Stores ,,553 E Joseph Lowery Blvd,,BLVD,,,Atlanta,GA,30310,553 E Joseph Lowery Blvd nan BLVD Atlanta GA 30310,"553 Joseph E Lowery Blvd SW, Atlanta, Georgia, 30310",-84.418101964713,33.739947012505,False,4,T,healthy healing corporation,the zen bar,healthy healing corporation the zen bar
GBL-0422-11835,"DoorDash Essentials, LLC",DashMart,Accommodation and Food Services,2025-01-29 13:20:58.497,445120.0,Convenience Stores ,,1360,SEABOARD INDUSTRIAL,BLVD,NW,,Atlanta,GA,30318,1360 SEABOARD INDUSTRIAL BLVD Atlanta GA 30318,"1360 Seaboard Industrial Blvd NW, Atlanta, Georgia, 30318",-84.432206528463,33.809205002063,False,9,D,"doordash essentials, llc",dashmart,"doordash essentials, llc dashmart"
GBL-0422-11898,800 MARIETTA CONVENIENCE INC,TECH SHOP & RUN,Retail Trade,2025-01-17 12:37:54.940,445120.0,Convenience Stores ,,800,MARIETTA,Street,NW,,Atlanta,GA,,800 MARIETTA Street Atlanta GA nan,"800 Marietta St NW, Atlanta, Georgia, 30318",-84.405895063843,33.773810739524,False,3,E,800 marietta convenience inc,tech shop & run,800 marietta convenience inc tech shop & run
GBL-0422-12617,Frazie's Meat & Market,,Retail Trade,2025-01-22 15:04:24.643,445210.0,Meat Markets ,,2030,Main,ST,NW,R-204,Atlanta,GA,30318,2030 Main ST Atlanta GA 30318,"2030 Main St NW, Atlanta, Georgia, 30318",-84.471880674582,33.811153710732,False,9,D,frazie's meat & market,,frazie's meat & market 
GBL-0424-29551,"Smokeshow Foods, LLC",,Retail Trade,2025-01-21 09:23:44.097,445299.0,All Other Specialty Food Stores ,,320 Orlean,,ST,SE,,Atlanta,GA,30312,320 Orlean nan ST Atlanta GA 30312,"320 Orleans St SE, Atlanta, Georgia, 30312",-84.377155445692,33.740234763241,False,1,W,"smokeshow foods, llc",,"smokeshow foods, llc "
GBL-0424-30352,Lopa Investment Inc,Best 4 Less,Retail Trade,2025-02-17 09:05:48.067,445120.0,Convenience Stores ,,1177,LEE,Street,SW,,Atlanta,GA,,1177 LEE Street Atlanta GA nan,"1177 Lee St SW, Atlanta, Georgia, 30310",-84.422615284297,33.723051694093,True,4,S,lopa investment inc,best 4 less,lopa investment inc best 4 less
GBL-0424-30352,Lopa Investment Inc,Best 4 Less,Retail Trade,2025-02-17 09:05:48.067,445120.0,Convenience Stores ,,1177,LEE,Street,SW,,Atlanta,GA,,1177 LEE Street Atlanta GA nan,"1177 Lee St SW, Atlanta, Georgia, 30310",-84.422615284297,33.723051694093,True,4,S,lopa investment inc,best 4 less,lopa investment inc best 4 less
GBL-0521-02957,Pack Hospitality LLC,Kinship Butcher Sundry,Retail Trade,2025-01-24 15:04:50.157,445299.0,All Other Specialty Food Stores ,NE,1019 Virginia Ave.,1019 Virginia Ave.,,,,Atlanta,GA,30306,1019 Virginia Ave. 1019 Virginia Ave. nan Atlanta GA 30306,"1019 Virginia Ave NE, Atlanta, Georgia, 30306",-84.353810001329,33.782247879441,False,6,F,pack hospitality llc,kinship butcher sundry,pack hospitality llc kinship butcher sundry
GBL-0521-03027,"Squoze, LLC",,Accommodation and Food Services,2025-02-07 16:05:55.827,445299.0,All Other Specialty Food Stores ,,660 Irwin Street,,,,,Atlanta,GA,30312,660 Irwin Street nan nan Atlanta GA 30312,"660 Irwin St NE, Atlanta, Georgia, 30312",-84.365227075464,33.757834748252,False,2,M,"squoze, llc",,"squoze, llc "
GBL-0521-03176,8 Cleveland,24/7 Food Mart,Retail Trade,2025-02-24 23:06:53.167,445120.0,Convenience Stores ,,8 Cleveland,,AVE,SE,,Atlanta,GA,30315,8 Cleveland nan AVE Atlanta GA 30315,"8 Cleveland Ave SE, Atlanta, Georgia, 30315",-84.388403037744,33.681354533733,True,12,Z,8 cleveland,24/7 food mart,8 cleveland 24/7 food mart
GBL-0521-03176,8 Cleveland,24/7 Food Mart,Retail Trade,2025-02-24 23:06:53.167,445120.0,Convenience Stores ,,8 Cleveland,,AVE,SE,,Atlanta,GA,30315,8 Cleveland nan AVE Atlanta GA 30315,"8 Cleveland Ave SE, Atlanta, Georgia, 30315",-84.388403037744,33.681354533733,True,12,Z,8 cleveland,24/7 food mart,8 cleveland 24/7 food mart
GBL-0521-03200,Fitlife Foods Tampa LLC,,Retail Trade,2025-01-07 17:19:02.537,445299.0,All Other Specialty Food Stores ,NE,3655 Roswell Road,,,,Suite 218,Atlanta,GA,30342,3655 Roswell Road nan nan Atlanta GA 30342,"3655 Roswell Rd NE, Atlanta, Georgia, 30342",-84.382238986149,33.855807000704,False,7,B,fitlife foods tampa llc,,fitlife foods tampa llc 
GBL-0521-03367,JSM JOSEPH E BOONE INC,FOOD MART,Retail Trade,2025-01-29 09:36:09.383,445120.0,Convenience Stores ,,1576,JOSEPH E BOONE,BLVD,NW,Suite A,Atlanta,GA,30314,1576 JOSEPH E BOONE BLVD Atlanta GA 30314,"1576 Joseph E Boone Blvd NW, Atlanta, Georgia, 30314",-84.439145570825,33.763328876236,True,3,J,jsm joseph e boone inc,food mart,jsm joseph e boone inc food mart
GBL-0523-20950,Toni's Spicy Mama Hot Sauce,,Retail Trade,2025-01-27 12:09:26.820,445299.0,All Other Specialty Food Stores ,,1108 Mathews ,,ST,NW,,ATLANTA ,GA,30310,1108 Mathews  nan ST ATLANTA  GA 30310,"1108 Mathews St SW, Atlanta, Georgia, 30310",-84.424059905309,33.734446388546,False,4,T,toni's spicy mama hot sauce,,toni's spicy mama hot sauce 
GBL-0524-30506,"Peachtree Creek Bridge, LLC",Cucina Baci,Retail Trade,2025-02-14 15:09:08.413,445299.0,All Other Specialty Food Stores ,,2295,PEACHTREE,Road,NE,,Atlanta,GA,,2295 PEACHTREE Road Atlanta GA nan,"2295 Peachtree Rd NE, Atlanta, Georgia, 30309",-84.388995722117,33.81700323141,False,7,E,"peachtree creek bridge, llc",cucina baci,"peachtree creek bridge, llc cucina baci"
GBL-0524-30506,"Peachtree Creek Bridge, LLC",Cucina Baci,Retail Trade,2025-02-14 15:09:08.413,445299.0,All Other Specialty Food Stores ,,2295,PEACHTREE,Road,NE,,Atlanta,GA,,2295 PEACHTREE Road Atlanta GA nan,"2295 Peachtree Rd NE, Atlanta, Georgia, 30309",-84.388995722117,33.81700323141,False,7,E,"peachtree creek bridge, llc",cucina baci,"peachtree creek bridge, llc cucina baci"
GBL-0524-30618,ABM Foodmart LLC,Mr. Sam,Accommodation and Food Services,2025-02-16 18:47:13.340,445120.0,Convenience Stores ,,215 Forsyth,,ST,SW,,Atlanta,GA,30303,215 Forsyth nan ST Atlanta GA 30303,"215 Forsyth St SW, Atlanta, Georgia, 30303",-84.396785695291,33.74894263863,False,4,M,abm foodmart llc,mr. sam,abm foodmart llc mr. sam
GBL-0524-30618,ABM Foodmart LLC,Mr. Sam,Accommodation and Food Services,2025-02-16 18:47:13.340,445120.0,Convenience Stores ,,215 Forsyth,,ST,SW,,Atlanta,GA,30303,215 Forsyth nan ST Atlanta GA 30303,"215 Forsyth St SW, Atlanta, Georgia, 30303",-84.396785695291,33.74894263863,False,4,M,abm foodmart llc,mr. sam,abm foodmart llc mr. sam
GBL-0524-30763,"SV Cleveland, LLC",24 Hour Food Mart,Retail Trade,2025-02-24 23:05:53.147,445120.0,Convenience Stores ,,5 Cleveland Avenue SE Atlanta Georgia 30315,,,,,,,,5 Cleveland Avenue SE Atlanta Georgia 30315 nan nan nan nan nan,"5 Cleveland Ave SE, Atlanta, Georgia, 30315",-84.388518372732,33.680899983123,True,12,Z,"sv cleveland, llc",24 hour food mart,"sv cleveland, llc 24 hour food mart"
GBL-0524-30775,MUZI WORKS LLC,,Retail Trade,2025-02-13 11:24:47.137,452319.0,All Other General Merchandise Stores ,SW,448 Ralph David Abernathy,,BLVD,,15,Atlanta,GA,30312,448 Ralph David Abernathy nan BLVD Atlanta GA 30312,"448 Ralph David Abernathy Blvd SW, Atlanta, Georgia, 30312",-84.402592007258,33.736452010337,True,4,V,muzi works llc,,muzi works llc 
GBL-0621-04413,TOHID 2021 CORPORATION,WEST END FOOD MART,Retail Trade,2025-01-23 07:05:01.933,445120.0,Convenience Stores ,,836 RALPH DAVID ABERNATHY BLVD SW,,,,,ATLANTA,GA,30310,836 RALPH DAVID ABERNATHY BLVD SW nan nan ATLANTA GA 30310,"836 Ralph David Abernathy Blvd SW, Atlanta, Georgia, 30310",-84.415084982484,33.738137988252,False,4,T,tohid 2021 corporation,west end food mart,tohid 2021 corporation west end food mart
GBL-0621-04479,Con Leche LLC,,Accommodation and Food Services,2025-02-08 16:07:27.060,445299.0,All Other Specialty Food Stores ,,181 Flat Shoals,,AVE,SE,1,Atlanta,GA,30316,181 Flat Shoals nan AVE Atlanta GA 30316,"181 Flat Shoals Ave SE, Atlanta, Georgia, 30316",-84.352601163253,33.748616875964,False,5,N,con leche llc,,con leche llc 
GBL-0621-04553,A & M CORNER FOOD MART LLC,A & M CORNER,Retail Trade,2025-02-12 13:08:28.960,445120.0,Convenience Stores ,,1053 cascade,,AVE,SW,,ATLANTA,GA,30311,1053 cascade nan AVE ATLANTA GA 30311,"1053 Cascade Cir SW, Atlanta, Georgia, 30311",-84.449341066391,33.726136150642,True,11,S,a & m corner food mart llc,a & m corner,a & m corner food mart llc a & m corner
